score,tier,title,company,location,salary,posted,source,url,reasons,warnings
53,🟠 POSSIBLE,Software Engineer in Test (SDET),Ascendion,"Plano, TX",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-in-test-sdet-at-ascendion-4435274136,Partial title match | Remote confirmed | Skill: SDET | Posted 2d ago ✓,Seniority unclear | Salary not listed
53,🟠 POSSIBLE,Sr. Software Engineer - Test (SDET),Early Warning,"Scottsdale, AZ",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/sr-software-engineer-test-sdet-at-early-warning-4448936348,Partial title match | Remote confirmed | Skill: SDET | Posted 1d ago ✓,Seniority unclear | Salary not listed
53,🟠 POSSIBLE,Quality Engineering Supervisor,"Precision Custom Components, LLC","York, PA",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-supervisor-at-precision-custom-components-llc-4422040115,Partial title match | Remote confirmed | Skill: quality engineering | Posted 3d ago ✓,Seniority unclear | Salary not listed
53,🟠 POSSIBLE,Quality Engineering Supervisor,"Vishay Intertechnology, Inc.","Niagara Falls, NY",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineering-supervisor-at-vishay-intertechnology-inc-4449907121,Partial title match | Remote confirmed | Skill: quality engineering | Posted 1d ago ✓,Seniority unclear | Salary not listed
53,🟠 POSSIBLE,Software Engineer II- Test Automation,JPMorganChase,"New York, NY",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-ii-test-automation-at-jpmorganchase-4448880974,Partial title match | Remote confirmed | Skill: test automation | Posted 2d ago ✓,Seniority unclear | Salary not listed
52,🟠 POSSIBLE,Senior QA Engineer /区块链测试工程师,Windranger Labs,APAC,,2026-07-12,Jobicy,https://jobicy.com/jobs/146187-senior-qa-engineer-%e5%8c%ba%e5%9d%97%e9%93%be%e6%b5%8b%e8%af%95%e5%b7%a5%e7%a8%8b%e5%b8%88,"Partial title match | Seniority: senior | Skills: Cypress, JavaScript",Remote unconfirmed — verify | Salary not listed | Post date unknown
48,🟠 POSSIBLE,Sr. Quality Engineer,Autoneum,"Duncan, SC",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/sr-quality-engineer-at-autoneum-4422106446,Partial title match | Remote confirmed | Posted 0d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Sr. Quality Engineer,Creation Technologies,"Dallas, TX",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/sr-quality-engineer-at-creation-technologies-4411288592,Partial title match | Remote confirmed | Posted 1d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Sr. Quality Engineer,Baxter International Inc.,"St Paul, MN",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/sr-quality-engineer-at-baxter-international-inc-4446693004,Partial title match | Remote confirmed | Posted 2d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Sr. Quality Engineer,Moog Inc.,"Salt Lake City, UT",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/sr-quality-engineer-at-moog-inc-4440879929,Partial title match | Remote confirmed | Posted 1d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Sr Quality Engineer,Protolabs,"Plymouth, MN",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/sr-quality-engineer-at-protolabs-4449909598,Partial title match | Remote confirmed | Posted 1d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Sr. Quality Engineer,Raytheon,"Tucson, AZ",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/sr-quality-engineer-at-raytheon-4440946696,Partial title match | Remote confirmed | Posted 1d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Program Quality Engineer,"BAE Systems, Inc.","Fort Wayne, IN",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/program-quality-engineer-at-bae-systems-inc-4438027446,Partial title match | Remote confirmed | Posted 1d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,"Quality Engineer, Sr",Curtiss-Wright Corporation,"Summerville, SC",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-sr-at-curtiss-wright-corporation-4448454623,Partial title match | Remote confirmed | Posted 0d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Sr. Quality Engineer,"Search Masters, Inc.","Highland Heights, OH",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/sr-quality-engineer-at-search-masters-inc-4450279183,Partial title match | Remote confirmed | Posted 0d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,"Quality Engineer, Sr",T Wright Corp,"Summerville, SC",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-sr-at-t-wright-corp-4449779948,Partial title match | Remote confirmed | Posted 0d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Sr. Supplier Quality Engineer,Milwaukee Tool,"Brookfield, WI",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/sr-supplier-quality-engineer-at-milwaukee-tool-4448326215,Partial title match | Remote confirmed | Posted 3d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Sr. Supplier Quality Engineer,Abbott,"New Brighton, MN",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/sr-supplier-quality-engineer-at-abbott-4447217053,Partial title match | Remote confirmed | Posted 0d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Quality Engineer III,Bausch + Lomb,"Rochester, NY",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-iii-at-bausch-%2B-lomb-4431765041,Partial title match | Remote confirmed | Posted 2d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,QA Automation Engineer,Dealer Alchemist,"Chantilly, VA",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/qa-automation-engineer-at-dealer-alchemist-4448231502,Partial title match | Remote confirmed | Posted 3d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Quality Engineer,Qualia,"Austin, TX",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-at-qualia-4448902142,Partial title match | Remote confirmed | Posted 2d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,"Software Engineer, Quality Assurance",Sentala,"Mountain View, CA",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/software-engineer-quality-assurance-at-sentala-4450291753,Partial title match | Remote confirmed | Posted 0d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Quality Engineer - Costco Travel,Costco Wholesale,"Seattle, WA",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-costco-travel-at-costco-wholesale-4431733554,Partial title match | Remote confirmed | Posted 1d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Sr. Software QA Engineer,Molecular Devices,"Downingtown, PA",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/sr-software-qa-engineer-at-molecular-devices-4446671972,Partial title match | Remote confirmed | Posted 2d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Quality Engineer II - Fabrication,"Sub-Zero Group, Inc.","Madison, WI",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-ii-fabrication-at-sub-zero-group-inc-4403636576,Partial title match | Remote confirmed | Posted 1d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Quality Engineer,NEL Frequency Controls,"Burlington, WI",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-at-nel-frequency-controls-4446107623,Partial title match | Remote confirmed | Posted 1d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Quality Engineer,"MW/MB, LLC","Clarksville, TN",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-at-mw-mb-llc-4450620554,Partial title match | Remote confirmed | Posted 0d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Supplier Quality Engineer,Briggs & Stratton,"Auburn, AL",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/supplier-quality-engineer-at-briggs-stratton-4446698307,Partial title match | Remote confirmed | Posted 2d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Supplier Quality Engineer,A. O. Smith Corporation,"Lebanon, TN",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/supplier-quality-engineer-at-a-o-smith-corporation-4424247666,Partial title match | Remote confirmed | Posted 3d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Product Quality Engineering,Analog Devices,"Wilmington, MA",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/product-quality-engineering-at-analog-devices-4414043995,Partial title match | Remote confirmed | Skill: quality engineering | Posted 5d ago,Seniority unclear | Salary not listed
48,🟠 POSSIBLE,Quality Assurance Automation Engineer,STG,Salt Lake City Metropolitan Area,,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/quality-assurance-automation-engineer-at-stg-4384368563,Partial title match | Remote confirmed | Posted 0d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,"Automation Engineer, Officer",State Street,"Burlington, MA",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/automation-engineer-officer-at-state-street-4449937579,Partial title match | Remote confirmed | Posted 1d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Software Quality Engineer II,Airlines Reporting Corporation (ARC),"Louisville, KY",,2026-08-03,LinkedIn,https://www.linkedin.com/jobs/view/software-quality-engineer-ii-at-airlines-reporting-corporation-arc-4447996714,Partial title match | Remote confirmed | Posted 3d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Quality Engineer,Shield AI,"Frisco, TX",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-at-shield-ai-4446687065,Partial title match | Remote confirmed | Posted 2d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Quality Engineer,Sterling Engineering,"Wheeling, IL",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-at-sterling-engineering-4444208236,Partial title match | Remote confirmed | Posted 2d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Sourced Products Supplier Quality Engineer,Trane Technologies,"Columbia, SC",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/sourced-products-supplier-quality-engineer-at-trane-technologies-4448914872,Partial title match | Remote confirmed | Posted 1d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Quality Engineer (PSP),Veeco,"Horsham, PA",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-psp-at-veeco-4420756671,Partial title match | Remote confirmed | Posted 0d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Quality Engineer,Anomatic Corporation,"New Albany, OH",,2026-08-06,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-at-anomatic-corporation-4448447056,Partial title match | Remote confirmed | Posted 0d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Advanced Quality Engineer,Adient,"Plymouth, MI",,2026-08-04,LinkedIn,https://www.linkedin.com/jobs/view/advanced-quality-engineer-at-adient-4442311595,Partial title match | Remote confirmed | Posted 2d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
48,🟠 POSSIBLE,Supplier Quality Engineer,Safran,"Irvine, CA",,2026-08-05,LinkedIn,https://www.linkedin.com/jobs/view/supplier-quality-engineer-at-safran-4449316371,Partial title match | Remote confirmed | Posted 1d ago ✓,Seniority unclear | No specific skills mentioned in listing | Salary not listed
43,🟠 POSSIBLE,Supplier Quality Engineer,"BAE Systems, Inc.","Louisville, KY",,2026-08-01,LinkedIn,https://www.linkedin.com/jobs/view/supplier-quality-engineer-at-bae-systems-inc-4427885320,Partial title match | Remote confirmed | Posted 5d ago,Seniority unclear | No specific skills mentioned in listing | Salary not listed
43,🟠 POSSIBLE,Sr. Quality Engineer,Rivian,"Normal, IL",,2026-07-30,LinkedIn,https://www.linkedin.com/jobs/view/sr-quality-engineer-at-rivian-4446944417,Partial title match | Remote confirmed | Posted 7d ago,Seniority unclear | No specific skills mentioned in listing | Salary not listed
43,🟠 POSSIBLE,Sr. Quality Engineer,TrendAI,"Austin, Texas Metropolitan Area",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/sr-quality-engineer-at-trendai-4447202017,Partial title match | Remote confirmed | Posted 6d ago,Seniority unclear | No specific skills mentioned in listing | Salary not listed
43,🟠 POSSIBLE,Sr Quality Eng 3,General Dynamics Mission Systems,"Bloomington, MN",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/sr-quality-eng-3-at-general-dynamics-mission-systems-4447103129,Partial title match | Remote confirmed | Posted 6d ago,Seniority unclear | No specific skills mentioned in listing | Salary not listed
43,🟠 POSSIBLE,Quality Engineer,Siemens,"Wendell, NC",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-at-siemens-4410449327,Partial title match | Remote confirmed | Posted 6d ago,Seniority unclear | No specific skills mentioned in listing | Salary not listed
43,🟠 POSSIBLE,Quality Engineer,The Carlstar Group,"Aiken, SC",,2026-07-31,LinkedIn,https://www.linkedin.com/jobs/view/quality-engineer-at-the-carlstar-group-4446406707,Partial title match | Remote confirmed | Posted 6d ago,Seniority unclear | No specific skills mentioned in listing | Salary not listed
